ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
AXISBANK.NS,long,PB-L,2019-11-19,2020-02-03,744.6906,706.0022,MeshBreak,19.7254,-5.3952,76
AXISBANK.NS,long,BO-L,2021-01-05,2021-01-18,661.6872,657.5142,Trail,18.205,-0.8307,13
AXISBANK.NS,long,PB-L,2021-01-25,2021-02-03,655.6624,716.8992,TP,20.4122,9.1397,9
AXISBANK.NS,long,BO-L,2021-05-27,2021-07-20,747.23,749.8712,Trail,20.035,0.1535,54
AXISBANK.NS,long,BO-L,2021-09-01,2021-10-27,795.5782,807.0721,Trail,17.6619,1.2447,56
AXISBANK.NS,long,BO-L,2022-01-27,2022-02-14,770.6323,776.5167,Trail,20.9026,0.5636,18
AXISBANK.NS,long,PB-L,2022-04-28,2022-04-29,776.5576,733.4204,SL,21.5686,-5.7549,1
AXISBANK.NS,long,PB-L,2022-08-30,2022-09-13,749.5144,799.2603,TP,16.582,6.4371,14
AXISBANK.NS,long,BO-L,2022-09-13,2022-09-23,803.4216,771.5138,SL,15.9539,-4.1715,10
AXISBANK.NS,long,BO-L,2022-10-12,2022-10-21,806.5633,869.0995,TP,20.8454,7.5534,9
AXISBANK.NS,long,BO-L,2022-12-07,2022-12-22,912.2333,922.1214,Trail,14.6027,0.8839,15
AXISBANK.NS,long,PB-L,2022-12-29,2023-01-13,932.0807,932.4978,Trail,17.984,-0.1552,15
AXISBANK.NS,long,BO-L,2023-06-05,2023-06-23,948.3376,960.0793,Trail,15.6261,1.0381,18
AXISBANK.NS,long,PB-L,2023-07-06,2023-08-02,978.3582,947.1874,SL,15.5854,-3.386,27
AXISBANK.NS,long,BO-L,2023-09-13,2023-10-04,1012.8022,1009.7411,Trail,17.0887,-0.5022,21
AXISBANK.NS,long,BO-L,2023-11-29,2023-12-04,1058.4279,1113.1517,TP,18.2413,4.9703,5
AXISBANK.NS,long,PB-L,2023-12-28,2024-01-17,1106.0503,1103.7731,Trail,21.3484,-0.4059,20
AXISBANK.NS,long,PB-L,2024-02-22,2024-03-15,1099.1117,1044.9498,SL,27.0809,-5.1278,22
AXISBANK.NS,long,BO-L,2024-04-29,2024-06-04,1157.3669,1169.2938,Trail,25.7545,0.8305,36
AXISBANK.NS,long,PB-L,2024-06-05,2024-07-12,1182.5758,1297.9025,TP,38.4422,9.5522,37
AXISBANK.NS,long,PB-L,2025-05-29,2025-07-01,1200.6738,1196.4792,Trail,23.3416,-0.5494,33
AXISBANK.NS,long,BO-L,2025-10-23,2025-12-02,1258.8,1259.8958,Trail,24.8804,-0.113,40
AXISBANK.NS,long,BO-L,2026-01-05,2026-01-23,1285.8,1272.1881,Trail,18.6088,-1.2586,18
AXISBANK.NS,long,PB-L,2026-01-27,2026-02-02,1315.8,1319.4295,Trail,27.2312,0.0758,6
AXISBANK.NS,long,PB50-L,2026-03-04,2026-03-09,1351.3,1294.6311,SL,28.3345,-4.3937,5
