ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
BAJFINANCE.NS,long,BO-L,2019-11-05,2019-12-02,413.1901,390.8967,SL,11.1467,-5.5954,27
BAJFINANCE.NS,long,PB-L,2019-12-17,2020-01-29,404.1939,427.7267,TP,7.8443,5.6222,43
BAJFINANCE.NS,long,BO-L,2020-02-04,2020-02-19,441.674,470.8692,TP,9.7317,6.4101,15
BAJFINANCE.NS,long,PB-L,2020-10-06,2020-10-20,340.3297,319.5482,MeshBreak,12.7389,-6.3063,14
BAJFINANCE.NS,long,BO-L,2020-11-06,2020-11-10,370.3484,408.7734,TP,12.8083,10.1754,4
BAJFINANCE.NS,long,BO-L,2020-12-30,2021-01-11,522.5138,492.4671,SL,15.0234,-5.9504,12
BAJFINANCE.NS,long,BO-L,2021-02-04,2021-04-05,539.2349,499.2877,SL,19.9736,-7.6081,60
BAJFINANCE.NS,long,BO-L,2021-06-03,2021-07-29,578.0893,623.8049,TP,15.2385,7.7081,56
BAJFINANCE.NS,long,BO-L,2021-07-29,2021-08-24,627.9434,668.9992,TP,13.6853,6.3381,26
BAJFINANCE.NS,long,PB-L,2021-10-26,2021-10-29,770.7541,727.4782,SL,21.638,-5.8148,3
BAJFINANCE.NS,long,PB-L,2022-08-30,2022-11-16,719.46,678.9684,MeshBreak,19.2419,-5.8281,78
BAJFINANCE.NS,long,BO-L,2023-06-13,2023-07-04,705.7232,736.3748,TP,10.2172,4.1433,21
BAJFINANCE.NS,long,BO-L,2023-08-29,2023-09-25,721.2415,761.0643,TP,13.2742,5.3214,27
BAJFINANCE.NS,long,BO-L,2023-09-25,2023-10-26,773.3073,745.3483,SL,13.9795,-3.8155,31
BAJFINANCE.NS,long,BO-L,2024-09-13,2024-10-04,755.1901,723.4119,SL,15.8891,-4.408,21
BAJFINANCE.NS,long,PB-L,2025-01-20,2025-02-01,739.4473,791.4778,TP,17.3435,6.8364,12
BAJFINANCE.NS,long,BO-L,2025-02-27,2025-03-05,865.2013,825.1759,SL,20.0127,-4.8261,6
BAJFINANCE.NS,long,PB-L,2025-03-12,2025-04-15,843.2418,904.9917,TP,20.5833,7.1229,34
BAJFINANCE.NS,long,PB-L,2025-06-13,2025-07-28,933.1,891.2208,SL,20.9396,-4.6882,45
BAJFINANCE.NS,long,BO-L,2025-10-15,2025-11-11,1059.9,1016.0926,SL,21.9037,-4.3332,27
