ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
BEL.NS,long,PB-L,2020-08-04,2020-08-13,30.278,33.8724,TP,1.1982,11.6716,9
BEL.NS,long,BO-L,2020-08-13,2020-09-08,34.515,31.6578,SL,1.4286,-8.4783,26
BEL.NS,long,BO-L,2020-11-27,2021-01-01,33.9488,37.4529,TP,1.168,10.1217,35
BEL.NS,long,BO-L,2021-01-01,2021-02-04,38.624,42.908,TP,1.428,10.8917,34
BEL.NS,long,PB-L,2021-02-17,2021-03-19,42.9334,39.7051,SL,1.6142,-7.7194,30
BEL.NS,long,BO-L,2021-05-05,2021-05-18,43.0183,47.5233,TP,1.5017,10.2723,13
BEL.NS,long,BO-L,2021-06-23,2021-07-28,52.5831,58.1608,TP,1.8592,10.4073,35
BEL.NS,long,BO-L,2021-07-28,2021-08-04,59.2769,55.979,SL,1.649,-5.7636,7
BEL.NS,long,BO-L,2021-09-03,2021-10-18,61.9763,66.8206,TP,1.6148,7.6164,45
BEL.NS,long,BO-L,2021-10-18,2021-10-22,68.1815,63.9336,SL,2.124,-6.4303,4
BEL.NS,long,BO-L,2021-11-09,2021-11-22,69.3276,63.7951,SL,2.7662,-8.1802,13
BEL.NS,long,PB-L,2021-12-13,2022-02-08,65.6069,62.6397,MeshBreak,2.1673,-4.7226,57
BEL.NS,long,PB-L,2022-03-07,2022-04-08,67.7806,75.6784,TP,2.6326,11.452,32
BEL.NS,long,PB-L,2022-05-20,2022-07-21,74.8708,82.6997,TP,2.6096,10.2566,62
BEL.NS,long,BO-L,2022-08-23,2022-09-02,95.6256,103.5782,TP,2.6509,8.1164,10
BEL.NS,long,PB-L,2022-10-27,2022-12-16,103.6678,97.1247,SL,3.2716,-6.5116,50
BEL.NS,long,BO-L,2023-04-18,2023-05-22,100.2345,106.9631,TP,2.2429,6.5129,34
BEL.NS,long,BO-L,2023-05-22,2023-06-06,107.5366,113.5785,TP,2.0139,5.4184,15
BEL.NS,long,PB-L,2023-06-28,2023-07-31,117.565,127.1526,TP,3.1959,7.9552,33
BEL.NS,long,PB-L,2023-08-22,2023-09-08,130.3797,139.6181,TP,3.0795,6.8857,17
BEL.NS,long,BO-L,2023-09-08,2023-09-12,140.1607,133.8,SL,3.1804,-4.7382,4
BEL.NS,long,PB-L,2023-09-13,2023-12-04,132.8739,144.2279,TP,3.7847,8.345,82
BEL.NS,long,BO-L,2023-12-04,2023-12-15,150.1861,161.3962,TP,3.7367,7.2641,11
BEL.NS,long,BO-L,2024-01-15,2024-02-12,184.5172,175.4317,SL,4.5427,-5.1239,28
BEL.NS,long,BO-L,2024-02-22,2024-03-07,191.2078,207.9664,TP,5.5862,8.5646,14
BEL.NS,long,BO-L,2024-04-01,2024-04-12,208.0001,229.8861,TP,7.2953,10.3221,11
BEL.NS,long,BO-L,2024-05-17,2024-05-21,244.5553,267.2002,TP,7.5483,9.0596,4
BEL.NS,long,BO-L,2024-07-05,2024-07-23,319.2914,297.0881,SL,11.1017,-7.1539,18
BEL.NS,long,BO-L,2024-11-27,2024-12-30,303.657,284.1361,SL,9.7604,-6.6286,33
BEL.NS,long,BO-L,2025-03-20,2025-04-07,295.1061,276.9739,SL,9.0661,-6.3443,18
BEL.NS,long,PB-L,2025-04-28,2025-05-13,303.0538,330.4109,TP,9.119,8.8271,15
BEL.NS,long,BO-L,2025-05-13,2025-05-21,333.5529,363.47,TP,9.9724,8.7692,8
BEL.NS,long,BO-L,2025-06-16,2025-07-01,401.2073,429.2232,TP,9.3387,6.7829,15
BEL.NS,long,BO-L,2025-07-01,2025-07-11,429.4214,409.3266,SL,10.0474,-4.8795,10
BEL.NS,long,BO-L,2025-09-17,2025-12-08,410.4526,393.329,SL,8.5618,-4.3719,82
BEL.NS,long,PB-L,2026-01-22,2026-01-28,415.531,442.7162,TP,9.0617,6.3423,6
BEL.NS,long,BO-L,2026-01-28,2026-02-06,451.0797,428.2412,SL,11.4192,-5.2631,9
BEL.NS,long,PB-L,2026-03-02,2026-03-16,452.0257,429.8262,SL,11.0997,-5.1111,14
