ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
BHARTIARTL.NS,long,PB-L,2019-11-15,2019-11-25,375.7226,420.5795,TP,14.9523,11.7388,10
BHARTIARTL.NS,long,PB-L,2019-12-17,2020-01-17,420.555,466.4751,TP,15.3067,10.7189,31
BHARTIARTL.NS,long,BO-L,2020-01-17,2020-02-06,478.0056,517.5123,TP,13.1689,8.0649,20
BHARTIARTL.NS,long,PB-L,2020-02-26,2020-03-09,512.3229,482.065,SL,15.129,-6.106,12
BHARTIARTL.NS,long,BO-L,2020-05-12,2020-08-14,535.1693,507.1114,MeshBreak,24.2006,-5.4428,94
BHARTIARTL.NS,long,BO-L,2021-01-07,2021-01-15,523.0846,563.8628,TP,13.5927,7.5957,8
BHARTIARTL.NS,long,BO-L,2021-05-07,2021-05-18,545.3894,517.4296,SL,13.9799,-5.3266,11
BHARTIARTL.NS,long,BO-L,2021-07-28,2021-08-10,544.8138,584.6543,TP,13.2802,7.1127,13
BHARTIARTL.NS,long,BO-L,2021-08-10,2021-09-09,596.9064,648.0272,TP,17.0403,8.3643,30
BHARTIARTL.NS,long,PB-L,2021-10-05,2021-11-25,683.4189,741.7477,TP,19.4429,8.3349,51
BHARTIARTL.NS,long,BO-L,2022-01-12,2022-01-21,713.6682,683.0892,SL,15.2895,-4.4848,9
BHARTIARTL.NS,long,PB-L,2022-02-09,2022-02-24,703.0638,667.1291,SL,17.9674,-5.3112,15
BHARTIARTL.NS,long,BO-L,2022-04-06,2022-04-18,758.0892,721.5089,SL,18.2902,-5.0253,12
BHARTIARTL.NS,long,BO-L,2022-08-17,2022-09-08,709.7229,754.0689,TP,14.782,6.0484,22
BHARTIARTL.NS,long,BO-L,2022-10-31,2023-01-06,816.7777,786.1978,SL,15.2899,-3.944,67
BHARTIARTL.NS,long,BO-L,2023-04-28,2023-05-31,784.676,825.4407,TP,13.5883,4.9951,33
BHARTIARTL.NS,long,BO-L,2023-06-23,2023-09-13,839.1606,882.0266,TP,14.2887,4.9082,82
BHARTIARTL.NS,long,BO-L,2023-09-13,2023-11-20,902.5332,945.2302,TP,14.2323,4.5308,68
BHARTIARTL.NS,long,BO-L,2023-11-20,2023-11-30,948.1456,985.9727,TP,12.609,3.7896,10
BHARTIARTL.NS,long,PB-L,2023-12-08,2024-01-09,986.46,1036.3486,TP,16.6296,4.8573,32
BHARTIARTL.NS,long,PB-L,2024-02-27,2024-03-15,1111.9557,1187.9033,TP,25.3159,6.6301,17
BHARTIARTL.NS,long,BO-L,2024-03-15,2024-04-23,1203.1804,1293.1604,TP,29.9933,7.2785,39
BHARTIARTL.NS,long,BO-L,2024-05-23,2024-06-04,1355.1066,1298.613,SL,28.2468,-4.3689,12
BHARTIARTL.NS,long,PB-L,2024-06-05,2024-06-27,1325.8159,1453.7514,TP,42.6452,9.4496,22
BHARTIARTL.NS,long,BO-L,2024-07-26,2024-08-06,1493.5216,1425.8851,SL,33.8183,-4.7287,11
BHARTIARTL.NS,long,PB-L,2024-08-14,2024-08-30,1459.4987,1559.6754,TP,33.3922,6.6638,16
BHARTIARTL.NS,long,BO-L,2024-08-30,2024-09-20,1575.8759,1671.0818,TP,31.7353,5.8415,21
BHARTIARTL.NS,long,PB-L,2025-01-28,2025-02-14,1604.9329,1702.1212,TP,32.3961,5.8556,17
BHARTIARTL.NS,long,BO-L,2025-03-21,2025-04-17,1711.4922,1826.453,TP,38.3203,6.517,27
BHARTIARTL.NS,long,BO-L,2025-04-17,2025-07-02,1873.4382,2011.3231,TP,45.9616,7.16,76
BHARTIARTL.NS,long,BO-L,2025-09-19,2025-09-29,1962.4,1904.1868,SL,29.1066,-3.1664,10
BHARTIARTL.NS,long,BO-L,2025-10-17,2025-11-04,2012.0,2104.296,TP,30.7653,4.3873,18
BHARTIARTL.NS,long,BO-L,2025-11-04,2025-11-07,2113.3,2041.472,SL,35.914,-3.5989,3
BHARTIARTL.NS,long,PB-L,2025-11-11,2026-01-16,2042.3,2016.4,MeshBreak,40.5134,-1.4682,66
