ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
BSE.NS,long,BO-L,2020-08-27,2020-09-15,53.694,58.1608,TP,1.489,8.1191,19
BSE.NS,long,BO-L,2020-09-15,2020-09-21,61.0962,56.412,SL,2.3421,-7.867,6
BSE.NS,long,BO-L,2020-11-20,2020-12-09,57.8828,63.9467,TP,2.0213,10.2762,19
BSE.NS,long,BO-L,2021-05-06,2021-05-18,71.2581,78.7064,TP,2.4828,10.2526,12
BSE.NS,long,BO-L,2021-07-02,2021-07-13,99.9596,110.6237,TP,3.5547,10.4685,11
BSE.NS,long,PB-L,2021-09-08,2021-10-11,126.2001,142.1553,TP,5.3184,12.4428,33
BSE.NS,long,BO-L,2021-11-10,2021-11-18,151.2449,168.9139,TP,5.8897,11.4824,8
BSE.NS,long,PB-L,2021-11-29,2021-12-02,162.1914,186.457,TP,8.0885,14.7611,3
BSE.NS,long,BO-L,2022-01-19,2022-02-24,225.4984,207.1437,SL,9.1774,-8.3396,36
BSE.NS,long,BO-L,2022-03-10,2022-03-14,277.981,318.849,TP,13.6227,14.5017,4
BSE.NS,long,BO-L,2023-10-06,2023-10-23,463.1449,529.1246,TP,21.9932,14.046,17
BSE.NS,long,BO-L,2023-11-30,2024-01-01,818.5421,732.0679,SL,43.2371,-10.7644,32
BSE.NS,long,BO-L,2024-02-01,2024-02-20,823.9948,760.773,SL,31.6109,-7.8726,19
BSE.NS,long,BO-L,2024-03-28,2024-04-04,831.4137,946.7253,TP,38.4372,13.6693,7
BSE.NS,long,BO-L,2024-04-23,2024-04-29,1057.4343,963.2826,SL,47.0759,-9.1038,6
BSE.NS,long,BO-L,2024-09-05,2024-09-16,960.504,1060.605,TP,33.367,10.2217,11
BSE.NS,long,BO-L,2024-10-11,2024-12-06,1494.1044,1754.2109,TP,86.7022,17.2089,56
BSE.NS,long,BO-L,2024-12-06,2025-02-28,1793.1611,1633.218,SL,79.9716,-9.1196,84
BSE.NS,long,BO-L,2025-05-12,2025-05-30,2311.2107,2611.9601,TP,100.2498,12.8126,18
BSE.NS,long,BO-L,2025-05-30,2025-06-09,2674.0,2977.2687,TP,101.0896,11.1414,10
BSE.NS,long,PB-L,2025-10-31,2025-11-12,2479.0,2707.3209,TP,76.107,9.0102,12
BSE.NS,long,BO-L,2025-11-12,2025-12-10,2775.3999,2586.8301,SL,94.2849,-6.9943,28
BSE.NS,long,BO-L,2026-02-10,2026-02-16,3174.2,2955.5747,SL,109.3126,-7.0876,6
