ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
CANBK.NS,long,BO-L,2021-01-13,2021-01-28,25.3194,22.8449,SL,1.2372,-9.9729,15
CANBK.NS,long,PB-L,2021-02-01,2021-02-17,24.8735,28.9922,TP,1.3729,16.3585,16
CANBK.NS,long,PB-L,2021-05-27,2021-07-22,26.8668,25.3368,MeshBreak,1.1639,-5.8948,56
CANBK.NS,long,PB-L,2021-08-05,2021-09-30,27.339,29.6455,TP,0.7688,8.2367,56
CANBK.NS,long,BO-L,2021-09-30,2021-10-14,30.2503,33.3835,TP,1.0444,10.1575,14
CANBK.NS,long,BO-L,2021-10-14,2021-10-29,33.8437,37.3701,TP,1.1755,10.2197,15
CANBK.NS,long,BO-L,2021-10-29,2021-11-08,37.5069,42.6598,TP,1.7176,13.5384,10
CANBK.NS,long,PB-L,2021-12-10,2021-12-17,38.8446,35.9653,SL,1.4397,-7.6124,7
CANBK.NS,long,PB-L,2022-01-05,2022-01-27,36.8949,40.611,TP,1.2387,9.8721,22
CANBK.NS,long,BO-L,2022-01-27,2022-02-24,42.1057,38.7269,SL,1.6894,-8.2244,28
CANBK.NS,long,BO-L,2022-04-01,2022-05-04,41.9571,39.2456,SL,1.3557,-6.6625,33
CANBK.NS,long,BO-L,2022-07-19,2022-09-12,40.3498,44.5019,TP,1.384,10.0903,55
CANBK.NS,long,BO-L,2022-09-14,2022-09-23,46.1631,43.5516,SL,1.3058,-5.8572,9
CANBK.NS,long,BO-L,2022-10-18,2022-10-25,45.25,50.0369,TP,1.5957,10.379,7
CANBK.NS,long,BO-L,2022-12-30,2023-01-25,60.267,55.9607,SL,2.1531,-7.3453,26
CANBK.NS,long,BO-L,2023-04-25,2023-07-03,55.638,59.6049,TP,1.3223,6.9298,69
CANBK.NS,long,BO-L,2023-07-04,2023-07-27,60.4646,64.2558,TP,1.2637,6.0702,23
CANBK.NS,long,BO-L,2023-09-11,2023-11-02,67.6643,72.5108,TP,1.6155,6.9625,52
CANBK.NS,long,BO-L,2023-11-13,2023-12-06,76.0295,81.737,TP,1.9025,7.3069,23
CANBK.NS,long,PB-L,2023-12-21,2024-01-29,81.1991,87.8297,TP,2.2102,7.9659,39
CANBK.NS,long,BO-L,2024-02-01,2024-02-07,94.2732,102.4109,TP,2.7126,8.432,6
CANBK.NS,long,PB-L,2024-03-28,2024-06-03,109.2272,119.4471,TP,3.4066,9.1565,67
CANBK.NS,long,BO-L,2024-06-03,2024-06-04,120.5438,112.7319,SL,3.906,-6.6806,1
CANBK.NS,long,BO-L,2025-06-30,2025-07-22,114.2,108.5567,SL,2.8216,-5.1416,22
CANBK.NS,long,BO-L,2025-09-17,2025-09-30,116.25,123.0501,TP,2.2667,5.6495,13
CANBK.NS,long,BO-L,2025-10-03,2025-10-31,125.9,134.4424,TP,2.8475,6.585,28
CANBK.NS,long,BO-L,2025-10-31,2025-11-17,136.99,147.3241,TP,3.4447,7.3437,17
CANBK.NS,long,PB-L,2025-12-09,2026-02-25,146.19,157.7475,TP,3.8525,7.7058,78
CANBK.NS,long,PB-L,2026-03-02,2026-03-09,153.56,144.8954,SL,4.3323,-5.8425,7
