ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
HEROMOTOCO.NS,long,BO-L,2017-02-01,2017-02-15,2407.0056,2294.8504,SL,56.0776,-4.8595,14
HEROMOTOCO.NS,long,PB-L,2017-03-02,2017-03-24,2364.7893,2511.4081,TP,48.8729,6.0001,22
HEROMOTOCO.NS,long,PB-L,2017-05-10,2017-05-12,2474.0356,2615.795,TP,47.2531,5.5299,2
HEROMOTOCO.NS,long,BO-L,2017-05-12,2017-06-02,2636.0383,2800.906,TP,54.9559,6.0544,21
HEROMOTOCO.NS,long,PB-L,2017-07-13,2017-08-04,2814.6589,2951.3104,TP,45.5505,4.655,22
HEROMOTOCO.NS,long,BO-L,2017-08-04,2017-09-22,2968.9385,2859.5407,SL,54.6989,-3.8847,49
HEROMOTOCO.NS,long,BO-L,2018-04-05,2018-05-16,2882.1523,2755.944,SL,63.1042,-4.579,41
HEROMOTOCO.NS,long,BO-L,2020-07-02,2020-08-17,2184.9353,2401.2881,TP,72.1176,9.702,46
HEROMOTOCO.NS,long,BO-L,2020-08-17,2020-10-07,2415.8787,2622.4056,TP,68.8423,8.3487,51
HEROMOTOCO.NS,long,BO-L,2020-10-07,2020-10-26,2668.7986,2518.8225,SL,74.988,-5.8196,19
HEROMOTOCO.NS,long,BO-L,2021-01-11,2021-01-25,2639.1284,2820.4886,TP,60.4534,6.672,14
HEROMOTOCO.NS,long,BO-L,2021-02-17,2021-02-26,3018.0398,2838.3399,SL,89.85,-6.1542,9
HEROMOTOCO.NS,long,PB-L,2021-03-02,2021-03-17,2927.4314,2725.6091,SL,100.9112,-7.0942,15
HEROMOTOCO.NS,long,BO-L,2022-07-06,2022-09-27,2467.7625,2333.8953,SL,66.9336,-5.6246,83
HEROMOTOCO.NS,long,BO-L,2022-11-28,2022-12-23,2456.3684,2360.9951,SL,47.6866,-4.0827,25
HEROMOTOCO.NS,long,PB-L,2023-06-30,2023-07-05,2635.0823,2808.437,TP,57.7849,6.3787,5
HEROMOTOCO.NS,long,BO-L,2023-09-18,2023-09-25,2852.0337,2738.6279,SL,56.7029,-4.1763,7
HEROMOTOCO.NS,long,BO-L,2023-10-16,2023-11-21,2894.4756,3078.9027,TP,61.4757,6.1717,36
HEROMOTOCO.NS,long,BO-L,2023-11-21,2023-11-28,3091.8054,3282.8263,TP,63.6736,5.9783,7
HEROMOTOCO.NS,long,PB-L,2024-03-28,2024-04-12,4418.8901,4179.2008,SL,119.8446,-5.6242,15
HEROMOTOCO.NS,long,BO-L,2024-05-14,2024-06-05,4719.4062,5113.2446,TP,131.2794,8.1451,22
HEROMOTOCO.NS,long,BO-L,2024-09-02,2024-09-19,5258.1196,5633.2439,TP,125.0414,6.9342,17
HEROMOTOCO.NS,long,BO-L,2025-08-13,2025-08-19,4677.5283,5003.1634,TP,108.545,6.7617,6
HEROMOTOCO.NS,long,BO-L,2025-10-03,2025-11-20,5444.3813,5821.8964,TP,125.8384,6.734,48
HEROMOTOCO.NS,long,BO-L,2025-11-20,2025-12-22,5884.7969,5629.99,SL,127.4034,-4.5299,32
