ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
HINDALCO.NS,long,BO-L,2016-11-03,2016-11-24,153.7431,168.9815,TP,5.0795,9.7117,21
HINDALCO.NS,long,BO-L,2017-01-12,2017-02-01,167.1531,183.8622,TP,5.5697,9.7963,20
HINDALCO.NS,long,PB-L,2017-02-13,2017-07-14,174.708,194.0027,TP,6.4316,10.844,151
HINDALCO.NS,long,BO-L,2017-07-19,2017-08-02,201.5753,215.2989,TP,4.5745,6.6082,14
HINDALCO.NS,long,PB-L,2017-08-14,2017-10-10,216.4018,238.9439,TP,7.514,10.2168,57
HINDALCO.NS,long,BO-L,2017-10-12,2017-11-29,250.8763,236.6874,SL,7.0944,-5.8557,48
HINDALCO.NS,long,BO-L,2017-12-28,2018-01-18,261.1219,246.693,SL,7.2144,-5.7257,21
HINDALCO.NS,long,PB-L,2018-10-01,2018-10-11,231.6326,211.8978,SL,9.8674,-8.7198,10
HINDALCO.NS,long,PB50-L,2018-11-13,2018-11-21,220.809,212.7987,MeshBreak,8.9355,-3.8277,8
HINDALCO.NS,long,BO-L,2020-01-02,2020-01-06,211.377,201.2446,SL,5.0662,-4.9935,4
HINDALCO.NS,long,BO-L,2020-10-21,2020-10-28,179.4546,166.3112,SL,6.5717,-7.524,7
HINDALCO.NS,long,BO-L,2020-11-11,2020-11-26,196.9223,219.8322,TP,7.6366,11.434,15
HINDALCO.NS,long,BO-L,2021-01-06,2021-01-22,250.0011,232.5431,SL,8.729,-7.1832,16
HINDALCO.NS,long,BO-L,2021-02-08,2021-02-22,269.206,301.5265,TP,10.7735,11.8059,14
HINDALCO.NS,long,BO-L,2021-04-01,2021-05-07,338.0154,378.5748,TP,13.5198,11.7993,36
HINDALCO.NS,long,BO-L,2021-05-07,2021-06-21,387.0891,355.1226,SL,15.9832,-8.4582,45
HINDALCO.NS,long,BO-L,2021-07-27,2021-07-29,402.7715,434.2917,TP,10.5067,7.6258,2
HINDALCO.NS,long,PB-L,2021-08-27,2021-09-15,425.5273,468.8398,TP,14.4375,9.9786,19
HINDALCO.NS,long,PB-L,2021-09-22,2021-10-13,449.9181,493.1205,TP,14.4008,9.4023,21
HINDALCO.NS,long,BO-L,2021-10-18,2021-10-21,527.4633,493.0658,SL,17.1987,-6.7213,3
HINDALCO.NS,long,BO-L,2022-01-07,2022-02-09,479.5563,517.6689,TP,12.7042,7.7475,33
HINDALCO.NS,long,BO-L,2022-02-09,2022-02-21,526.9774,498.14,SL,14.4187,-5.6722,12
HINDALCO.NS,long,PB50-L,2022-02-22,2022-02-28,501.6149,546.2657,TP,14.8836,8.7014,6
HINDALCO.NS,long,BO-L,2022-02-28,2022-03-28,557.5389,611.709,TP,18.0567,9.5159,28
HINDALCO.NS,long,BO-L,2022-12-05,2022-12-23,471.8928,445.8378,SL,13.0275,-5.7214,18
HINDALCO.NS,long,PB-L,2022-12-29,2023-02-07,460.8113,431.8099,SL,14.5007,-6.4936,40
HINDALCO.NS,long,PB-L,2023-08-23,2023-09-14,455.2821,486.8883,TP,10.5354,6.7421,22
HINDALCO.NS,long,BO-L,2023-09-14,2023-09-25,490.915,466.4195,SL,12.2477,-5.1898,11
HINDALCO.NS,long,PB-L,2023-09-29,2023-10-23,486.2758,460.5972,SL,12.8393,-5.4807,24
HINDALCO.NS,long,BO-L,2023-11-15,2023-12-14,498.8609,534.5708,TP,11.9033,6.9583,29
HINDALCO.NS,long,PB-L,2024-01-31,2024-02-13,571.8541,543.1595,SL,14.3473,-5.2178,13
HINDALCO.NS,long,BO-L,2024-04-03,2024-04-24,569.1396,611.7864,TP,14.2156,7.2932,21
HINDALCO.NS,long,BO-L,2024-05-29,2024-06-04,696.1744,656.8494,SL,19.6625,-5.8487,6
HINDALCO.NS,long,PB-L,2024-06-05,2024-08-05,686.2545,625.0762,SL,30.5892,-9.1148,61
HINDALCO.NS,long,BO-L,2024-08-26,2024-09-04,706.6676,666.4299,SL,20.1188,-5.894,9
HINDALCO.NS,long,BO-L,2024-09-26,2024-10-24,729.3017,694.2437,SL,17.529,-5.0071,28
HINDALCO.NS,long,BO-L,2025-06-27,2025-07-14,692.2732,664.2262,SL,14.0235,-4.2514,17
HINDALCO.NS,long,BO-L,2025-09-03,2025-10-23,742.95,786.4888,TP,14.5129,5.6603,50
HINDALCO.NS,long,BO-L,2025-10-23,2025-10-27,792.4,836.593,TP,14.731,5.3771,4
HINDALCO.NS,long,BO-L,2025-12-12,2026-01-02,852.1,903.9214,TP,17.2738,5.8816,21
HINDALCO.NS,long,BO-L,2026-01-28,2026-02-02,998.2,952.5457,SL,22.8271,-4.7737,5
HINDALCO.NS,long,PB50-L,2026-02-02,2026-03-23,930.5,871.6675,SL,29.4163,-6.5227,49
