ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
ICICIBANK.NS,long,BO-L,2019-10-29,2019-11-28,461.7353,500.4573,TP,12.9073,8.1862,30
ICICIBANK.NS,long,PB-L,2020-01-14,2020-02-03,519.96,501.438,SL,9.261,-3.7622,20
ICICIBANK.NS,long,BO-L,2020-11-09,2020-12-07,447.5177,493.4141,TP,15.2988,10.0558,28
ICICIBANK.NS,long,BO-L,2020-12-07,2021-01-13,493.7009,536.9201,TP,14.4064,8.5541,37
ICICIBANK.NS,long,PB-L,2021-01-25,2021-02-01,520.3953,558.5698,TP,12.7248,7.1357,7
ICICIBANK.NS,long,BO-L,2021-02-01,2021-02-15,583.9879,637.1241,TP,17.7121,8.8989,14
ICICIBANK.NS,long,BO-L,2021-04-28,2021-07-29,600.962,662.9724,TP,20.6701,10.1185,92
ICICIBANK.NS,long,BO-L,2021-08-04,2021-08-20,693.2244,664.6615,SL,14.2815,-4.3203,16
ICICIBANK.NS,long,BO-L,2021-08-31,2021-10-06,697.4925,671.4734,SL,13.0096,-3.9304,36
ICICIBANK.NS,long,BO-L,2021-10-18,2021-10-25,723.101,764.9131,TP,13.9374,5.5823,7
ICICIBANK.NS,long,BO-L,2022-01-05,2022-02-17,764.4239,730.6401,SL,16.8919,-4.6195,43
ICICIBANK.NS,long,PB-L,2022-04-28,2022-05-06,724.7501,697.6865,MeshBreak,16.9091,-3.9342,8
ICICIBANK.NS,long,BO-L,2022-07-11,2022-07-29,746.4301,791.4676,TP,15.0125,5.8337,18
ICICIBANK.NS,long,BO-L,2022-09-14,2022-09-23,895.9192,863.9057,SL,16.0067,-3.7733,9
ICICIBANK.NS,long,PB50-L,2022-10-12,2022-10-24,847.3712,901.8292,TP,18.1527,6.2267,12
ICICIBANK.NS,long,PB-L,2022-11-07,2022-12-23,895.3337,859.3756,SL,17.979,-4.2162,46
ICICIBANK.NS,long,PB-L,2023-04-11,2023-05-08,860.5939,910.4123,TP,16.6062,5.5888,27
ICICIBANK.NS,long,PB-L,2023-07-13,2023-07-20,932.6108,970.2948,TP,12.5613,3.8407,7
ICICIBANK.NS,long,PB50-L,2023-08-04,2023-10-04,947.0533,915.0511,MeshBreak,15.1591,-3.5791,61
ICICIBANK.NS,long,PB-L,2023-12-21,2024-02-22,988.2021,1038.1083,TP,16.6354,4.8502,63
ICICIBANK.NS,long,PB-L,2024-02-29,2024-04-29,1035.2312,1097.9896,TP,20.9195,5.8623,60
ICICIBANK.NS,long,BO-L,2024-04-29,2024-05-22,1141.4403,1096.8208,SL,22.3097,-4.1091,23
ICICIBANK.NS,long,BO-L,2024-06-25,2024-09-18,1178.6307,1261.4691,TP,27.6128,6.8284,85
ICICIBANK.NS,long,BO-L,2024-10-29,2024-11-08,1321.652,1264.9811,SL,28.3354,-4.4879,10
ICICIBANK.NS,long,BO-L,2025-04-17,2025-09-01,1395.9288,1411.0,MeshBreak,27.5124,0.8797,137
ICICIBANK.NS,long,BO-L,2026-01-08,2026-01-19,1435.0,1398.004,SL,18.498,-2.7781,11
ICICIBANK.NS,long,PB-L,2026-02-10,2026-03-06,1406.5,1313.4,MeshBreak,25.4741,-6.8193,24
