ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
ITC.NS,long,BO-L,2017-01-20,2017-02-02,176.051,186.1399,TP,3.3629,5.5306,13
ITC.NS,long,BO-L,2017-02-02,2017-03-03,189.0791,180.5819,SL,4.2486,-4.694,29
ITC.NS,long,PB-L,2017-03-15,2017-03-21,184.8743,196.2136,TP,3.7798,5.9335,6
ITC.NS,long,PB-L,2017-04-25,2017-05-22,193.9043,206.194,TP,4.0965,6.138,27
ITC.NS,long,BO-L,2017-05-22,2017-06-30,209.276,224.3682,TP,5.0307,7.0116,39
ITC.NS,long,BO-L,2017-06-30,2017-07-18,226.5987,217.5614,SL,4.5186,-4.1882,18
ITC.NS,long,PB-L,2018-05-18,2018-06-15,197.6481,189.0788,SL,4.2846,-4.5356,28
ITC.NS,long,BO-L,2018-07-23,2018-07-27,202.8914,215.227,TP,4.1119,5.8799,4
ITC.NS,long,BO-L,2019-01-11,2019-01-23,210.8885,203.5521,SL,3.6682,-3.6788,12
ITC.NS,long,PB-L,2019-04-11,2019-05-31,211.6383,205.1004,SL,3.2689,-3.2891,50
ITC.NS,long,PB-L,2020-12-22,2021-02-04,156.0505,169.335,TP,4.4282,8.313,44
ITC.NS,long,BO-L,2021-02-04,2021-02-22,176.4199,165.6371,SL,5.3914,-6.312,18
ITC.NS,long,BO-L,2021-03-18,2021-04-12,171.0973,163.2079,SL,3.9447,-4.8111,25
ITC.NS,long,BO-L,2021-07-23,2021-07-29,171.7979,166.8844,SL,2.4567,-3.06,6
ITC.NS,long,PB-L,2021-09-09,2021-09-16,172.0001,179.9143,TP,2.6381,4.4013,7
ITC.NS,long,BO-L,2021-10-13,2021-10-22,201.5632,192.7969,SL,4.3832,-4.5492,9
ITC.NS,long,PB-L,2022-03-07,2022-03-16,186.319,199.88,TP,4.5203,7.0783,9
ITC.NS,long,PB-L,2022-04-28,2022-06-02,216.261,232.0204,TP,5.2532,7.0872,35
ITC.NS,long,PB-L,2022-06-29,2022-07-04,232.5214,246.3593,TP,4.6126,5.7512,5
ITC.NS,long,BO-L,2022-07-04,2022-08-05,247.6665,263.1262,TP,5.1532,6.0422,32
ITC.NS,long,BO-L,2022-08-30,2022-09-19,271.9326,284.6584,TP,4.2419,4.4798,20
ITC.NS,long,PB-L,2022-09-29,2022-11-02,282.5808,299.9712,TP,5.7968,5.9541,34
ITC.NS,long,BO-L,2022-11-02,2022-11-18,300.9075,290.5585,SL,5.1745,-3.6393,16
ITC.NS,long,PB-L,2022-12-13,2022-12-16,293.2289,284.7624,SL,4.2333,-3.0873,3
ITC.NS,long,BO-L,2023-01-31,2023-02-02,298.9561,315.1557,TP,5.3999,5.2187,2
ITC.NS,long,PB-L,2023-03-16,2023-04-21,328.9503,348.8126,TP,6.6208,5.8381,36
ITC.NS,long,BO-L,2023-04-21,2023-05-05,352.0618,369.5974,TP,5.8452,4.7808,14
ITC.NS,long,PB-L,2023-05-12,2023-05-25,362.5827,380.2953,TP,5.9042,4.6851,13
ITC.NS,long,BO-L,2023-05-25,2023-07-03,380.4337,400.5058,TP,6.6907,5.0761,39
ITC.NS,long,BO-L,2023-07-03,2023-07-20,408.4652,426.6333,TP,6.056,4.2479,17
ITC.NS,long,PB-L,2023-07-26,2023-08-11,416.4009,398.2596,SL,9.0707,-4.5567,16
ITC.NS,long,BO-L,2023-12-06,2023-12-08,408.4652,396.9214,SL,5.7719,-3.0261,2
ITC.NS,long,BO-L,2023-12-28,2024-01-29,409.2148,396.6822,SL,6.2663,-3.2626,32
ITC.NS,long,PB-L,2024-04-25,2024-06-04,391.6924,378.5499,SL,6.5713,-3.5553,40
ITC.NS,long,BO-L,2024-07-09,2024-07-19,412.6333,431.9076,TP,6.4248,4.471,10
ITC.NS,long,BO-L,2024-09-02,2024-10-09,465.0102,448.6849,SL,8.1627,-3.7107,37
