ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
KOTAKBANK.NS,long,PB-L,2019-11-11,2019-12-18,322.0346,343.3588,TP,7.108,6.4217,37
KOTAKBANK.NS,long,PB-L,2020-01-16,2020-01-20,338.8942,329.011,SL,4.9416,-3.1163,4
KOTAKBANK.NS,short,PB-S,2020-03-27,2020-04-16,278.6559,226.9304,TP,22.9891,22.5935,20
KOTAKBANK.NS,long,BO-L,2021-02-05,2021-02-26,394.8902,371.2784,SL,11.8059,-6.1793,21
KOTAKBANK.NS,long,PB-L,2021-03-09,2021-03-18,394.1434,369.1339,SL,12.5048,-6.5453,9
KOTAKBANK.NS,long,BO-L,2021-09-08,2021-09-17,361.739,383.1382,TP,7.1331,5.7156,9
KOTAKBANK.NS,long,BO-L,2021-10-21,2021-10-29,427.1783,407.2933,SL,9.9425,-4.855,8
KOTAKBANK.NS,long,PB-L,2022-08-30,2022-09-27,381.9154,362.942,SL,9.4867,-5.168,28
KOTAKBANK.NS,long,BO-L,2022-10-21,2022-12-20,379.3633,368.2873,MeshBreak,7.8368,-3.1196,60
KOTAKBANK.NS,long,PB-L,2023-05-18,2023-06-13,384.2981,370.6943,SL,6.8019,-3.7399,26
KOTAKBANK.NS,long,BO-L,2023-07-20,2023-07-25,390.18,377.7381,SL,6.2209,-3.3888,5
KOTAKBANK.NS,long,PB-L,2024-01-03,2024-01-17,372.3422,360.4924,SL,5.9249,-3.3825,14
KOTAKBANK.NS,long,BO-L,2024-09-20,2024-10-03,380.4613,368.8103,SL,5.8255,-3.2623,13
KOTAKBANK.NS,long,BO-L,2025-01-20,2025-03-21,383.6577,411.3266,TP,9.223,7.0119,60
KOTAKBANK.NS,long,BO-L,2025-03-21,2025-04-21,415.3211,437.4183,TP,7.3657,5.1205,31
KOTAKBANK.NS,long,BO-L,2025-04-22,2025-05-05,453.2375,432.0319,SL,10.6028,-4.8787,13
KOTAKBANK.NS,long,BO-L,2025-06-10,2025-07-28,429.7245,414.0926,SL,7.816,-3.8377,48
KOTAKBANK.NS,long,BO-L,2025-10-06,2025-11-25,429.2,414.4929,SL,7.3535,-3.6266,50
KOTAKBANK.NS,long,BO-L,2025-12-11,2026-01-14,436.04,421.8905,SL,7.0748,-3.445,34
