ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
KPITTECH.NS,long,PB-L,2020-11-27,2020-12-23,104.0834,118.7756,TP,4.8974,13.9158,26
KPITTECH.NS,long,BO-L,2020-12-28,2021-03-09,126.7208,150.1228,TP,7.8007,18.2674,71
KPITTECH.NS,long,BO-L,2021-06-30,2021-07-26,252.8574,284.0252,TP,10.3893,12.1262,26
KPITTECH.NS,long,PB-L,2021-09-15,2021-09-24,323.8152,360.7009,TP,12.2952,11.1909,9
KPITTECH.NS,long,BO-L,2021-09-24,2021-10-01,361.0713,332.0531,SL,14.5091,-8.2367,7
KPITTECH.NS,long,PB-L,2021-10-19,2021-10-25,338.0919,311.0582,SL,13.5169,-8.196,6
KPITTECH.NS,long,BO-L,2021-11-09,2021-11-12,365.1783,413.2336,TP,16.0184,12.9594,3
KPITTECH.NS,long,BO-L,2021-12-24,2022-01-06,527.1592,605.3491,TP,26.0633,14.6323,13
KPITTECH.NS,long,PB-L,2022-03-22,2022-04-18,588.9016,536.6787,SL,26.1114,-9.0678,27
KPITTECH.NS,long,BO-L,2022-07-29,2022-09-13,536.9195,594.749,TP,19.2765,10.5706,46
KPITTECH.NS,long,BO-L,2022-09-13,2022-09-22,595.5078,652.08,TP,18.8574,9.2998,9
KPITTECH.NS,long,BO-L,2022-09-22,2023-01-31,653.7609,727.1985,TP,24.4792,11.0331,131
KPITTECH.NS,long,BO-L,2023-02-02,2023-03-20,774.2487,864.3843,TP,30.0452,11.4417,46
KPITTECH.NS,long,BO-L,2023-03-20,2023-04-03,876.1851,808.8501,SL,33.6675,-7.885,14
KPITTECH.NS,long,PB-L,2023-04-26,2023-05-25,891.8453,1002.0377,TP,36.7308,12.1555,29
KPITTECH.NS,long,PB-L,2023-06-15,2023-09-01,1047.6105,1170.1264,TP,40.8386,11.4948,78
KPITTECH.NS,long,PB-L,2023-10-04,2023-11-06,1124.7787,1236.1475,TP,37.1229,9.7014,33
KPITTECH.NS,long,BO-L,2023-11-10,2023-11-17,1351.689,1494.1517,TP,47.4876,10.3396,7
KPITTECH.NS,long,BO-L,2023-12-15,2024-01-29,1499.1786,1393.9757,SL,52.6015,-7.2174,45
KPITTECH.NS,long,BO-L,2024-02-06,2024-03-04,1653.5288,1531.393,SL,61.0679,-7.5864,27
KPITTECH.NS,long,PB-L,2024-05-24,2024-06-03,1533.5895,1439.392,SL,47.0987,-6.3423,10
KPITTECH.NS,long,BO-L,2024-07-03,2024-09-25,1701.325,1640.011,MeshBreak,63.5932,-3.8039,84
