ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
M&M.NS,long,BO-L,2017-05-31,2017-06-30,652.1744,620.8307,SL,15.6719,-5.006,30
M&M.NS,long,PB-L,2017-07-11,2017-09-01,639.8395,626.1678,MeshBreak,12.6485,-2.3367,52
M&M.NS,long,PB-L,2017-11-01,2017-11-14,627.6315,664.0302,TP,12.1329,5.5994,13
M&M.NS,long,PB-L,2017-12-14,2017-12-18,665.1988,698.5598,TP,11.1203,4.8152,4
M&M.NS,long,BO-L,2017-12-18,2018-02-19,706.9479,678.5956,SL,14.1762,-4.2105,63
M&M.NS,long,BO-L,2018-04-16,2018-04-25,744.7941,793.4612,TP,16.2224,6.3343,9
M&M.NS,long,PB-L,2018-05-29,2018-07-09,808.7303,866.694,TP,19.3212,6.9672,41
M&M.NS,long,PB-L,2018-08-10,2018-09-24,886.2184,852.7592,SL,16.7296,-3.9755,45
M&M.NS,long,BO-L,2020-07-28,2020-09-24,591.8118,552.1875,SL,19.8122,-6.8954,58
M&M.NS,long,PB-L,2020-12-18,2020-12-21,699.8519,659.6465,SL,20.1027,-5.9448,3
M&M.NS,long,BO-L,2021-01-08,2021-02-04,735.0544,798.4857,TP,21.1438,8.4295,27
M&M.NS,long,BO-L,2021-02-04,2021-03-25,826.6381,759.4663,SL,33.5859,-8.3259,49
M&M.NS,long,BO-L,2021-05-28,2021-06-18,806.9381,760.8717,SL,23.0332,-5.9088,21
M&M.NS,long,BO-L,2021-10-01,2021-10-11,798.6553,856.0326,TP,19.1257,6.9842,10
M&M.NS,long,BO-L,2021-11-10,2021-11-26,887.2181,834.0032,SL,26.6075,-6.198,16
M&M.NS,long,PB-L,2022-05-13,2022-05-30,858.1313,936.1321,TP,26.0003,8.8896,17
M&M.NS,long,BO-L,2022-05-30,2022-06-28,963.1426,1047.2458,TP,28.0344,8.5322,29
M&M.NS,long,BO-L,2022-06-28,2022-08-01,1072.7847,1163.603,TP,30.2728,8.2657,34
M&M.NS,long,BO-L,2022-08-01,2022-10-31,1206.3181,1302.9592,TP,32.2137,7.8112,91
M&M.NS,long,BO-L,2022-10-31,2022-11-14,1314.3533,1252.739,SL,30.8071,-4.8878,14
M&M.NS,long,BO-L,2023-01-13,2023-02-27,1294.4226,1243.0281,SL,25.6972,-4.1705,45
M&M.NS,long,BO-L,2023-05-15,2023-06-05,1253.0018,1312.3557,TP,19.7846,4.5369,21
M&M.NS,long,BO-L,2023-06-30,2023-07-06,1416.6869,1497.7429,TP,27.0187,5.5215,6
M&M.NS,long,PB-L,2023-08-09,2023-10-31,1511.451,1436.457,MeshBreak,41.5763,-5.1617,83
M&M.NS,long,PB-L,2023-11-28,2023-12-05,1542.2759,1633.7834,TP,30.5025,5.7333,7
M&M.NS,long,BO-L,2023-12-05,2024-01-17,1660.4542,1585.741,SL,37.3566,-4.6996,43
M&M.NS,long,BO-L,2024-02-05,2024-02-16,1677.6886,1797.528,TP,39.9465,6.9431,11
M&M.NS,long,BO-L,2024-02-16,2024-04-04,1807.6847,1966.1647,TP,52.8267,8.567,48
M&M.NS,long,BO-L,2024-04-30,2024-05-16,2123.6147,2303.7255,TP,60.0369,8.2813,16
M&M.NS,long,BO-L,2024-09-23,2024-10-22,3025.4929,2885.0334,SL,70.2297,-4.8425,29
M&M.NS,long,PB-L,2024-11-08,2024-11-13,2951.1899,2776.6423,MeshBreak,102.7983,-6.1145,5
M&M.NS,long,PB-L,2024-11-22,2025-01-22,2988.9365,2803.9231,MeshBreak,105.2359,-6.3899,61
M&M.NS,long,BO-L,2025-05-05,2025-07-22,2997.4185,3254.8648,TP,85.8155,8.3889,78
M&M.NS,long,PB-L,2025-07-30,2025-08-22,3208.8999,3402.2881,TP,64.4627,5.8266,23
M&M.NS,long,PB-L,2025-09-01,2025-09-05,3315.3999,3550.3325,TP,78.3109,6.8861,4
M&M.NS,long,BO-L,2025-09-05,2026-01-23,3561.3,3543.3999,MeshBreak,92.4803,-0.7026,140
