ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
MARUTI.NS,long,BO-L,2019-10-29,2019-11-08,7334.4111,6906.9157,SL,213.7477,-6.0286,10
MARUTI.NS,long,BO-L,2019-12-23,2020-01-06,6992.0693,6714.3195,SL,138.8749,-4.1724,14
MARUTI.NS,long,BO-L,2020-09-04,2020-09-21,6891.2637,6525.4947,SL,182.8845,-5.5077,17
MARUTI.NS,long,PB-L,2020-10-29,2020-12-03,6821.8721,7344.1453,TP,174.0911,7.4559,35
MARUTI.NS,long,BO-L,2020-12-03,2021-01-18,7417.4463,7600.7559,Trail,187.4953,2.2713,46
MARUTI.NS,long,BO-L,2021-06-23,2021-07-08,7123.7803,7129.0346,Trail,145.2387,-0.1262,15
MARUTI.NS,long,BO-L,2021-10-11,2021-10-25,7427.7954,7079.402,SL,174.1967,-4.8904,14
MARUTI.NS,long,PB-L,2021-11-01,2021-11-17,7345.5674,7934.5388,TP,196.3238,7.8181,16
MARUTI.NS,long,BO-L,2021-11-17,2021-11-24,7981.3979,7558.3848,SL,211.5066,-5.5,7
MARUTI.NS,long,BO-L,2022-01-10,2022-01-27,7837.5356,8381.992,TP,181.4854,6.7468,17
MARUTI.NS,long,BO-L,2022-01-27,2022-02-24,8507.5107,7954.5088,SL,276.501,-6.7002,28
MARUTI.NS,long,PB-L,2022-07-27,2022-08-12,8351.1562,8560.7634,Trail,176.952,2.3099,16
MARUTI.NS,long,PB-L,2022-08-16,2022-09-26,8741.6836,8794.6502,Trail,201.3557,0.4059,41
MARUTI.NS,long,BO-L,2023-05-05,2023-05-16,8688.2363,8829.5129,Trail,129.3067,1.4261,11
MARUTI.NS,long,BO-L,2023-06-30,2023-07-10,9504.1787,9459.4112,Trail,145.4593,-0.671,10
MARUTI.NS,long,PB-L,2023-07-31,2023-08-11,9534.957,9209.9127,SL,162.5222,-3.609,11
MARUTI.NS,long,BO-L,2023-08-31,2023-09-11,9804.0811,10283.6923,TP,159.8704,4.692,11
MARUTI.NS,long,PB-L,2023-10-12,2023-10-26,10369.6602,10325.0294,Trail,174.271,-0.6304,14
MARUTI.NS,long,BO-L,2024-02-06,2024-02-22,10628.3398,11305.6324,TP,225.7642,6.1725,16
MARUTI.NS,long,PB-L,2024-02-29,2024-03-22,11062.9854,11737.612,TP,224.8755,5.8981,22
MARUTI.NS,long,BO-L,2024-03-22,2024-04-12,12091.3877,12210.914,Trail,250.9372,0.7885,21
MARUTI.NS,long,PB-L,2024-04-15,2024-05-03,12174.8359,12276.1428,Trail,293.2624,0.6321,18
MARUTI.NS,long,PB-L,2024-05-17,2024-05-31,12389.1221,12335.911,Trail,292.1561,-0.6295,14
MARUTI.NS,long,BO-L,2024-07-31,2024-08-05,12853.9521,12305.0899,SL,274.4311,-4.47,5
MARUTI.NS,long,BO-L,2025-02-01,2025-02-28,12778.1963,12184.645,SL,296.7756,-4.845,27
MARUTI.NS,long,BO-L,2025-05-15,2025-05-28,12813.3164,12208.481,SL,302.4177,-4.9204,13
MARUTI.NS,long,BO-L,2025-08-12,2025-08-18,12840.0,13515.7246,TP,225.2415,5.0627,6
MARUTI.NS,long,PB-L,2025-11-21,2026-01-02,15977.0,16755.7375,TP,259.5792,4.6741,42
MARUTI.NS,long,BO-L,2026-01-02,2026-01-07,16960.0,16882.0311,Trail,227.7213,-0.6597,5
