ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
NTPC.NS,long,PB-L,2016-11-23,2017-01-12,93.3861,101.3865,TP,2.6668,8.367,50
NTPC.NS,long,BO-L,2017-01-12,2017-02-28,101.4775,97.3147,SL,2.0814,-4.3022,47
NTPC.NS,long,PB-L,2017-04-06,2017-04-17,99.4921,95.8702,SL,1.8109,-3.8403,11
NTPC.NS,long,PB-L,2017-08-01,2017-08-04,98.0089,103.8792,TP,1.9568,5.7895,3
NTPC.NS,long,PB-L,2017-09-11,2017-10-25,102.4916,109.7583,TP,2.4222,6.8901,44
NTPC.NS,long,BO-L,2017-10-25,2017-11-15,110.1837,105.7819,SL,2.2009,-4.195,21
NTPC.NS,long,BO-L,2017-11-27,2017-12-05,111.9865,107.1639,SL,2.4113,-4.5064,8
NTPC.NS,long,BO-L,2018-04-17,2018-05-10,108.1233,104.0664,SL,2.0284,-3.9521,23
NTPC.NS,long,PB-L,2018-09-25,2018-10-26,105.3762,99.8838,SL,2.7462,-5.4121,31
NTPC.NS,long,PB-L,2019-05-30,2019-07-12,103.167,97.7731,SL,2.697,-5.4284,43
NTPC.NS,long,PB-L,2020-12-31,2021-01-25,80.3178,75.6922,SL,2.3128,-5.9591,25
NTPC.NS,long,PB-L,2021-02-08,2021-02-25,81.0859,89.0177,TP,2.644,9.5821,17
NTPC.NS,long,BO-L,2021-02-25,2021-04-12,90.0153,84.049,SL,2.9831,-6.8281,46
NTPC.NS,long,BO-L,2021-05-11,2021-08-27,93.9326,94.5161,MeshBreak,2.7229,0.4211,108
NTPC.NS,long,PB-L,2021-09-08,2021-09-15,97.7147,103.2796,TP,1.855,5.495,7
NTPC.NS,long,BO-L,2022-01-13,2022-02-24,115.6212,110.1471,SL,2.7371,-4.9346,42
NTPC.NS,long,BO-L,2022-04-01,2022-04-06,126.0474,134.0897,TP,2.6808,6.1804,5
NTPC.NS,long,PB-L,2022-05-31,2022-06-16,137.5544,128.6624,SL,4.446,-6.6644,16
NTPC.NS,long,BO-L,2022-08-01,2022-08-26,137.9953,146.729,TP,2.9113,6.129,25
NTPC.NS,long,BO-L,2022-09-06,2022-09-26,151.3814,144.1777,SL,3.6018,-4.9586,20
NTPC.NS,long,PB-L,2022-10-17,2022-11-01,151.3814,162.0134,TP,3.544,6.8233,15
NTPC.NS,long,BO-L,2022-11-01,2022-11-10,163.3787,155.2231,SL,4.0778,-5.1918,9
NTPC.NS,long,BO-L,2023-02-21,2023-06-12,159.7633,168.9369,TP,3.0579,5.542,111
NTPC.NS,long,BO-L,2023-06-12,2023-07-06,171.2441,180.3236,TP,3.0265,5.1021,24
NTPC.NS,long,BO-L,2023-07-06,2023-07-13,181.4339,175.0122,SL,3.2108,-3.7394,7
NTPC.NS,long,BO-L,2023-07-25,2023-07-31,185.0303,196.1539,TP,3.7079,5.8118,6
NTPC.NS,long,PB-L,2023-11-09,2023-11-16,224.6456,237.993,TP,4.4491,5.7415,7
NTPC.NS,long,BO-L,2023-11-16,2023-12-01,238.2404,252.7563,TP,4.8386,5.893,15
NTPC.NS,long,BO-L,2023-12-28,2024-02-15,296.349,320.1587,TP,7.9366,7.8343,49
NTPC.NS,long,BO-L,2024-02-15,2024-03-15,323.4089,304.647,SL,9.3809,-6.0013,29
NTPC.NS,long,BO-L,2024-04-03,2024-06-03,334.8486,361.9796,TP,9.0437,7.9025,61
NTPC.NS,long,BO-L,2024-06-03,2024-06-04,373.5051,352.3245,SL,10.5903,-5.8708,1
NTPC.NS,long,BO-L,2024-07-31,2024-11-08,396.575,384.4268,MeshBreak,11.6057,-3.2633,100
NTPC.NS,long,PB-L,2026-01-27,2026-02-04,342.1171,362.2402,TP,6.7077,5.6819,8
