ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
HDFCBANK.NS,long,BO-L,2021-01-12,2021-01-27,701.3835,672.824,SL,14.2798,-4.2719,15
HDFCBANK.NS,long,BO-L,2021-02-05,2021-03-17,756.6038,712.6188,SL,21.9925,-6.0135,40
HDFCBANK.NS,long,BO-L,2021-07-06,2021-07-19,729.9609,706.531,SL,11.7149,-3.4097,13
HDFCBANK.NS,long,PB-L,2021-09-23,2021-10-14,746.7509,790.6903,TP,12.5541,5.6841,21
HDFCBANK.NS,long,BO-L,2021-10-14,2021-10-28,802.5908,774.9146,SL,13.8381,-3.6484,14
HDFCBANK.NS,long,BO-L,2022-09-13,2022-09-23,728.0549,706.2546,SL,10.9002,-3.1943,10
HDFCBANK.NS,long,BO-L,2022-11-01,2022-11-11,728.1271,774.6714,TP,13.2984,6.1923,10
HDFCBANK.NS,long,BO-L,2022-12-12,2022-12-23,790.9196,769.1234,SL,10.8981,-2.9558,11
HDFCBANK.NS,long,BO-L,2023-01-20,2023-01-31,799.1956,772.196,SL,13.4998,-3.5783,11
HDFCBANK.NS,long,BO-L,2023-05-04,2023-05-05,831.3617,808.0274,SL,11.6672,-3.0068,1
HDFCBANK.NS,long,BO-L,2023-06-28,2023-08-03,815.7584,793.7211,SL,11.0186,-2.9014,36
HDFCBANK.NS,long,BO-L,2024-06-19,2024-09-25,817.8699,874.3185,TP,16.1282,6.7019,98
HDFCBANK.NS,long,BO-L,2024-10-21,2024-12-04,852.8224,908.7377,TP,15.9758,6.3565,44
HDFCBANK.NS,long,BO-L,2025-03-25,2025-04-07,898.5789,870.9714,SL,13.8038,-3.2724,13
HDFCBANK.NS,long,PB-L,2025-04-08,2025-04-17,872.7777,933.7159,TP,17.4109,6.7821,9
HDFCBANK.NS,long,BO-L,2025-04-17,2025-07-23,940.6354,1005.4692,TP,18.5239,6.6925,97
HDFCBANK.NS,long,PB-L,2025-07-29,2025-08-22,1010.8,984.6136,SL,13.0932,-2.7907,24
HDFCBANK.NS,long,BO-L,2025-10-17,2026-01-06,1002.55,962.2,MeshBreak,13.7479,-4.2247,81
INFY.NS,long,BO-L,2021-01-08,2021-01-29,1155.0681,1104.2339,SL,25.4171,-4.601,21
INFY.NS,long,BO-L,2021-03-10,2021-06-15,1204.4103,1303.4997,TP,28.3113,8.0272,97
INFY.NS,long,PB-L,2021-08-31,2021-10-19,1518.4331,1605.1541,TP,24.7774,5.5112,49
INFY.NS,long,BO-L,2021-10-19,2021-10-22,1621.3853,1546.0476,SL,37.6688,-4.8465,3
INFY.NS,long,PB50-L,2021-11-23,2021-12-24,1559.2252,1671.1992,TP,31.9926,6.9814,31
INFY.NS,long,PB-L,2022-01-10,2022-01-24,1661.429,1595.0283,SL,33.2003,-4.1966,14
INFY.NS,long,BO-L,2022-03-14,2022-04-11,1697.2921,1613.5146,SL,41.8887,-5.1359,28
INFY.NS,long,BO-L,2022-12-01,2022-12-09,1519.7717,1464.3149,SL,27.7284,-3.849,8
INFY.NS,long,BO-L,2023-09-12,2023-09-26,1395.204,1357.9893,SL,18.6073,-2.8673,14
INFY.NS,long,BO-L,2023-12-06,2023-12-15,1388.0311,1458.0305,TP,19.9998,4.8431,9
INFY.NS,long,BO-L,2023-12-15,2024-01-03,1486.0397,1430.0378,SL,28.001,-3.9685,19
INFY.NS,long,PB-L,2024-01-05,2024-01-15,1442.8727,1544.6886,TP,29.0903,6.8565,10
INFY.NS,long,BO-L,2024-01-15,2024-03-19,1555.427,1482.7836,SL,36.3217,-4.8703,64
INFY.NS,long,BO-L,2024-06-27,2024-07-12,1510.9225,1602.7501,TP,26.2365,5.8776,15
INFY.NS,long,BO-L,2024-08-28,2024-10-21,1862.1603,1796.588,SL,32.7861,-3.7213,54
INFY.NS,long,PB-L,2024-11-22,2025-01-17,1847.5723,1764.2267,SL,41.6728,-4.7111,56
INFY.NS,long,BO-L,2026-01-16,2026-02-04,1689.8,1626.988,SL,31.406,-3.9171,19
ICICIBANK.NS,long,BO-L,2021-01-06,2021-02-01,528.7615,572.1564,TP,12.3985,8.0069,26
ICICIBANK.NS,long,BO-L,2021-02-01,2021-02-15,583.9879,645.9801,TP,17.7121,10.4153,14
ICICIBANK.NS,long,BO-L,2021-04-28,2021-08-04,600.962,673.3075,TP,20.6701,11.8383,98
ICICIBANK.NS,long,BO-L,2021-08-04,2021-08-20,693.2244,664.6615,SL,14.2815,-4.3203,16
ICICIBANK.NS,long,BO-L,2021-08-31,2021-10-06,697.4925,671.4734,SL,13.0096,-3.9304,36
ICICIBANK.NS,long,BO-L,2021-10-18,2021-10-25,723.101,771.8818,TP,13.9374,6.546,7
ICICIBANK.NS,long,BO-L,2022-01-05,2022-02-17,764.4239,730.6401,SL,16.8919,-4.6195,43
ICICIBANK.NS,long,BO-L,2022-07-11,2022-08-03,746.4301,798.9738,TP,15.0125,6.8393,23
ICICIBANK.NS,long,BO-L,2022-09-14,2022-09-23,895.9192,863.9057,SL,16.0067,-3.7733,9
ICICIBANK.NS,long,PB50-L,2022-10-12,2022-11-24,847.3712,910.9056,TP,18.1527,7.2978,43
ICICIBANK.NS,long,BO-L,2022-11-29,2022-12-15,923.8771,894.0273,SL,14.9249,-3.4309,16
ICICIBANK.NS,long,PB-L,2023-04-11,2023-05-12,860.5939,918.7154,TP,16.6062,6.5537,31
ICICIBANK.NS,long,PB-L,2023-07-13,2023-10-04,932.6108,915.0511,MeshBreak,12.5613,-2.0829,83
ICICIBANK.NS,long,PB-L,2023-12-21,2024-03-01,988.2021,1046.426,TP,16.6354,5.6919,71
ICICIBANK.NS,long,BO-L,2024-03-01,2024-06-24,1069.3716,1146.6451,TP,22.0782,7.0261,115
ICICIBANK.NS,long,BO-L,2024-06-25,2024-09-18,1178.6307,1275.2755,TP,27.6128,7.9997,85
ICICIBANK.NS,long,BO-L,2024-10-28,2025-01-10,1282.9507,1240.2799,MeshBreak,27.2709,-3.526,74
ICICIBANK.NS,long,BO-L,2025-04-17,2025-09-01,1395.9288,1411.0,MeshBreak,27.5124,0.8797,137
ICICIBANK.NS,long,BO-L,2026-01-08,2026-01-19,1435.0,1398.004,SL,18.498,-2.7781,11
ICICIBANK.NS,long,BO-L,2026-02-12,2026-02-27,1430.0,1380.4416,SL,24.7792,-3.6656,15
SBIN.NS,long,BO-L,2021-01-06,2021-02-01,263.0204,286.5985,TP,6.7366,8.7644,26
SBIN.NS,long,BO-L,2021-02-02,2021-02-05,307.3569,348.8619,TP,11.8586,13.3039,3
SBIN.NS,long,BO-L,2021-05-17,2021-06-01,353.4927,394.9118,TP,11.834,11.5171,15
SBIN.NS,long,BO-L,2021-07-29,2021-08-17,411.187,394.002,SL,8.5925,-4.3794,19
SBIN.NS,long,BO-L,2021-09-15,2021-10-12,413.3289,440.1996,TP,7.6773,6.301,27
SBIN.NS,long,BO-L,2021-10-12,2021-11-03,449.7868,490.1941,TP,11.5449,8.7836,22
SBIN.NS,long,BO-L,2021-11-03,2021-11-16,491.3665,462.1776,SL,14.5944,-6.1403,13
SBIN.NS,long,BO-L,2022-01-17,2022-02-24,478.6551,458.3617,SL,10.1467,-4.4397,38
SBIN.NS,long,BO-L,2022-07-19,2022-07-28,470.9455,503.224,TP,9.2224,6.654,9
SBIN.NS,long,PB-L,2022-09-01,2022-10-25,504.3784,544.6655,TP,11.5106,7.7875,54
SBIN.NS,long,BO-L,2022-10-25,2023-01-27,547.1744,510.6678,MeshBreak,12.8179,-6.8718,94
SBIN.NS,long,BO-L,2023-07-03,2023-07-21,564.46,591.2839,TP,7.664,4.5521,18
SBIN.NS,long,BO-L,2023-07-21,2023-08-03,593.0469,573.6923,SL,9.6773,-3.4636,13
SBIN.NS,long,PB-L,2023-09-13,2023-10-13,575.0657,556.4607,SL,9.3025,-3.4353,30
SBIN.NS,long,BO-L,2023-12-08,2023-12-15,592.1311,623.9836,TP,9.1007,5.1793,7
SBIN.NS,long,PB-L,2024-02-01,2024-02-09,624.43,675.4222,TP,14.5692,7.9662,8
SBIN.NS,long,PB-L,2024-03-28,2024-04-25,725.3762,783.1032,TP,16.4935,7.7582,28
SBIN.NS,long,BO-L,2024-04-25,2024-06-03,783.5625,842.0942,TP,16.7233,7.2699,39
SBIN.NS,long,PB-L,2024-06-06,2024-08-14,800.8689,787.1935,MeshBreak,34.1691,-1.9076,69
SBIN.NS,long,PB-L,2024-11-04,2024-11-21,813.515,777.9123,SL,17.8013,-4.5764,17
SBIN.NS,long,BO-L,2025-05-30,2025-09-23,812.3,864.1779,TP,14.8223,6.1865,116
SBIN.NS,long,BO-L,2025-10-10,2025-10-28,880.65,924.5927,TP,12.5551,4.7898,18
SBIN.NS,long,PB-L,2025-12-05,2026-01-13,971.5,1024.9965,TP,15.2847,5.3066,39
SBIN.NS,long,BO-L,2026-01-13,2026-02-09,1028.45,1078.6452,TP,14.3415,4.6807,27
SBIN.NS,long,BO-L,2026-02-09,2026-03-12,1146.0,1090.4323,SL,27.7839,-5.0488,31
WIPRO.NS,long,BO-L,2021-04-08,2021-04-13,204.2279,193.7126,SL,5.2577,-5.3488,5
WIPRO.NS,long,PB-L,2021-04-15,2021-04-22,198.9617,220.6755,TP,6.2039,10.7135,7
WIPRO.NS,long,BO-L,2021-04-22,2021-06-01,224.8078,250.464,TP,7.3303,11.2125,40
WIPRO.NS,long,PB-L,2021-06-24,2021-07-23,253.6335,273.9534,TP,5.8057,7.8115,29
WIPRO.NS,long,BO-L,2021-07-23,2021-09-02,276.7771,299.5214,TP,6.4984,8.0175,41
WIPRO.NS,long,PB-L,2021-10-12,2021-11-26,304.471,289.1442,SL,7.6634,-5.2339,45
WIPRO.NS,long,BO-L,2021-12-21,2022-01-13,319.1148,302.9746,SL,8.0701,-5.2578,23
WIPRO.NS,long,BO-L,2023-09-04,2023-09-22,203.0298,196.2352,SL,3.3973,-3.5466,18
