ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
POLYCAB.NS,long,BO-L,2020-02-20,2020-03-02,1099.2535,1025.3859,SL,36.9338,-6.9198,11
POLYCAB.NS,long,BO-L,2020-08-14,2020-09-22,852.4717,802.4925,SL,24.9896,-6.0629,39
POLYCAB.NS,long,PB-L,2021-03-19,2021-04-27,1316.0812,1445.771,TP,43.2299,9.6542,39
POLYCAB.NS,long,BO-L,2021-04-27,2021-06-07,1499.6674,1665.4979,TP,55.2769,10.8578,41
POLYCAB.NS,long,PB-L,2021-07-16,2021-07-27,1892.8573,1798.3303,SL,47.2635,-5.1939,11
POLYCAB.NS,long,BO-L,2021-08-30,2021-09-03,1988.131,2173.5076,TP,61.7922,9.1242,4
POLYCAB.NS,long,BO-L,2021-10-08,2021-10-20,2473.2974,2283.0607,SL,95.1183,-7.8916,12
POLYCAB.NS,long,PB-L,2021-11-09,2021-11-26,2417.8635,2227.474,SL,95.1948,-8.0743,17
POLYCAB.NS,long,PB-L,2021-12-10,2021-12-20,2416.446,2256.4592,SL,79.9934,-6.8208,10
POLYCAB.NS,long,BO-L,2022-01-13,2022-01-21,2625.177,2473.8305,SL,75.6732,-5.9652,8
POLYCAB.NS,long,BO-L,2022-04-05,2022-04-29,2595.1631,2439.0899,SL,78.0366,-6.214,24
POLYCAB.NS,long,BO-L,2022-08-10,2022-09-13,2383.1125,2569.2599,TP,62.0491,7.6111,34
POLYCAB.NS,long,PB-L,2022-10-04,2022-12-13,2592.4709,2801.8271,TP,69.7854,7.8755,70
POLYCAB.NS,long,BO-L,2023-01-18,2023-02-01,2710.3396,2890.005,TP,59.8885,6.4289,14
POLYCAB.NS,long,BO-L,2023-02-01,2023-03-24,2948.3406,2795.1426,SL,76.599,-5.3961,51
POLYCAB.NS,long,PB-L,2023-04-10,2023-04-27,2928.2612,3133.2034,TP,68.3141,6.7988,17
POLYCAB.NS,long,BO-L,2023-05-12,2023-06-28,3335.7078,3545.7491,TP,70.0138,6.0968,47
POLYCAB.NS,long,BO-L,2023-06-28,2023-07-14,3577.4692,3828.8684,TP,83.7997,6.8273,16
POLYCAB.NS,long,BO-L,2023-07-17,2023-07-19,3875.0266,4124.9912,TP,83.3215,6.2507,2
POLYCAB.NS,long,BO-L,2023-08-22,2023-10-16,4946.6191,5344.0276,TP,132.4695,7.8339,55
POLYCAB.NS,long,BO-L,2023-10-17,2023-10-23,5412.5054,5167.0087,SL,122.7483,-4.7357,6
POLYCAB.NS,long,PB-L,2023-11-24,2023-12-11,5226.7549,5563.3983,TP,112.2145,6.2408,17
POLYCAB.NS,long,BO-L,2023-12-11,2023-12-22,5634.3369,5371.2069,SL,131.565,-4.8701,11
POLYCAB.NS,long,PB-L,2024-03-21,2024-04-23,4936.0771,5396.1464,TP,153.3564,9.1205,33
POLYCAB.NS,long,BO-L,2024-06-24,2024-06-28,7187.1094,6750.0818,SL,218.5138,-6.2807,4
POLYCAB.NS,long,BO-L,2024-07-31,2024-08-05,6820.0356,6432.8836,SL,193.576,-5.8767,5
POLYCAB.NS,long,BO-L,2024-09-27,2024-10-22,7015.541,6699.7538,SL,157.8936,-4.7013,25
POLYCAB.NS,long,BO-L,2024-11-29,2025-01-09,7257.2886,6865.0005,SL,196.144,-5.6054,41
POLYCAB.NS,long,BO-L,2025-08-18,2025-09-22,7087.0,7582.8602,TP,165.2867,6.7968,35
POLYCAB.NS,long,PB-L,2025-10-20,2025-12-03,7673.5,7332.6718,SL,170.4141,-4.6416,44
POLYCAB.NS,long,BO-L,2026-02-23,2026-02-27,7974.0,8520.9974,TP,182.3325,6.6598,4
