ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
POWERGRID.NS,long,BO-L,2016-11-10,2016-12-26,67.5468,64.1422,SL,1.7023,-5.2404,46
POWERGRID.NS,long,PB-L,2017-01-11,2017-01-24,68.0307,72.4998,TP,1.4897,6.3693,13
POWERGRID.NS,long,BO-L,2017-02-20,2017-02-27,74.3678,71.2775,SL,1.5452,-4.3555,7
POWERGRID.NS,long,BO-L,2017-04-17,2017-07-12,72.8729,76.944,TP,1.357,5.3866,86
POWERGRID.NS,long,BO-L,2017-07-31,2017-09-06,80.4375,77.5352,SL,1.4512,-3.8082,37
POWERGRID.NS,long,PB-L,2017-09-18,2017-09-27,78.8127,76.1777,MeshBreak,1.5106,-3.5434,9
POWERGRID.NS,long,PB-L,2017-11-02,2017-11-07,78.7578,75.9947,MeshBreak,1.7742,-3.7084,5
POWERGRID.NS,long,BO-L,2018-05-08,2018-06-04,78.8493,76.3177,SL,1.2658,-3.4107,27
POWERGRID.NS,long,BO-L,2019-06-19,2019-07-25,77.6368,82.4128,TP,1.592,5.9518,36
POWERGRID.NS,long,BO-L,2019-07-25,2019-08-05,82.6175,79.037,SL,1.7902,-4.5338,11
POWERGRID.NS,long,BO-L,2020-08-21,2020-09-14,76.9037,72.4666,SL,2.2186,-5.9697,24
POWERGRID.NS,long,PB-L,2020-12-22,2021-01-13,81.2348,87.4339,TP,2.0664,7.4311,22
POWERGRID.NS,long,BO-L,2021-02-08,2021-02-18,90.7328,98.4554,TP,2.5742,8.3114,10
POWERGRID.NS,long,BO-L,2021-03-19,2021-03-26,100.0849,93.6881,SL,3.1984,-6.5914,7
POWERGRID.NS,long,BO-L,2021-05-12,2021-06-11,98.2371,106.6912,TP,2.818,8.4058,30
POWERGRID.NS,long,BO-L,2021-09-28,2021-10-13,108.5172,115.1887,TP,2.2238,5.9478,15
POWERGRID.NS,long,BO-L,2021-10-13,2021-10-28,117.6316,111.5757,SL,3.028,-5.3482,15
POWERGRID.NS,long,BO-L,2021-11-23,2022-01-04,119.077,128.3966,TP,3.1066,7.6266,42
POWERGRID.NS,long,BO-L,2022-01-20,2022-02-14,131.0689,124.854,SL,3.1075,-4.9417,25
POWERGRID.NS,long,BO-L,2022-03-02,2022-04-05,132.3572,143.5607,TP,3.7345,8.2646,34
POWERGRID.NS,long,BO-L,2022-04-28,2022-06-13,147.8585,140.2154,SL,3.8215,-5.3692,46
POWERGRID.NS,long,BO-L,2022-08-12,2022-09-23,143.1202,136.7841,SL,3.168,-4.6271,42
POWERGRID.NS,long,PB50-L,2023-01-31,2023-03-06,140.585,149.575,TP,2.9967,6.1947,34
POWERGRID.NS,long,BO-L,2023-03-06,2023-05-02,150.8773,159.4466,TP,2.8564,5.4796,57
POWERGRID.NS,long,BO-L,2023-05-10,2023-05-17,164.4938,158.6433,SL,2.9253,-3.7567,7
POWERGRID.NS,long,BO-L,2023-06-08,2023-06-21,160.5085,168.9752,TP,2.8222,5.0749,13
POWERGRID.NS,long,BO-L,2023-06-21,2023-06-26,171.5013,165.1697,SL,3.1658,-3.8919,5
POWERGRID.NS,long,BO-L,2023-07-06,2023-07-10,174.4903,167.4728,SL,3.5088,-4.2217,4
POWERGRID.NS,long,BO-L,2023-07-31,2023-08-01,176.7155,168.8218,SL,3.9468,-4.6669,1
POWERGRID.NS,long,BO-L,2023-09-08,2023-10-17,175.1557,186.0281,TP,3.6241,6.0073,39
POWERGRID.NS,long,BO-L,2023-10-17,2023-12-05,187.0405,198.1557,TP,3.7051,5.7427,49
POWERGRID.NS,long,BO-L,2023-12-28,2024-01-31,220.0778,235.4435,TP,5.1219,6.782,34
POWERGRID.NS,long,BO-L,2024-01-31,2024-02-05,238.6707,256.3687,TP,5.8993,7.2152,5
POWERGRID.NS,long,BO-L,2024-02-20,2024-03-13,269.4259,252.2675,SL,8.5792,-6.5685,22
POWERGRID.NS,long,BO-L,2024-04-24,2024-05-02,271.7655,292.7082,TP,6.9809,7.5062,8
POWERGRID.NS,long,BO-L,2024-05-21,2024-05-30,304.7536,288.1652,SL,8.2942,-5.6432,9
POWERGRID.NS,long,PB-L,2024-05-31,2024-06-03,290.1078,315.3436,TP,8.4119,8.4987,3
POWERGRID.NS,long,BO-L,2024-06-03,2024-06-04,315.9836,295.1877,SL,10.398,-6.7813,1
POWERGRID.NS,long,PB-L,2024-07-25,2024-09-26,317.6681,343.854,TP,8.7286,8.0432,63
POWERGRID.NS,long,PB-L,2024-12-03,2024-12-23,315.5269,301.7917,MeshBreak,7.7686,-4.5531,20
