ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
RELIANCE.NS,long,BO-L,2019-10-29,2019-11-27,656.2894,700.126,TP,14.6122,6.4795,29
RELIANCE.NS,long,BO-L,2019-12-19,2019-12-24,720.2161,694.161,SL,13.0275,-3.8177,5
RELIANCE.NS,long,BO-L,2020-01-17,2020-01-24,707.2653,681.4908,SL,12.8872,-3.8442,7
RELIANCE.NS,long,BO-L,2020-06-18,2020-07-06,747.7938,820.0783,TP,24.0948,9.4664,18
RELIANCE.NS,long,BO-L,2020-07-22,2020-09-10,908.6763,990.2764,TP,27.2001,8.7801,50
RELIANCE.NS,long,BO-L,2020-09-10,2020-10-16,1049.2399,988.9099,SL,30.165,-5.9499,36
RELIANCE.NS,long,BO-L,2021-02-25,2021-03-18,972.3153,920.4013,SL,25.957,-5.5392,21
RELIANCE.NS,long,BO-L,2021-05-31,2021-07-27,979.5475,936.9715,SL,21.288,-4.5465,57
RELIANCE.NS,long,BO-L,2021-08-16,2021-09-02,988.9686,1043.1285,TP,18.0533,5.2764,17
RELIANCE.NS,long,PB-L,2022-01-21,2022-01-24,1127.4515,1082.8556,SL,22.2979,-4.1555,3
RELIANCE.NS,long,BO-L,2022-03-30,2022-04-13,1216.2245,1161.4187,SL,27.4029,-4.7062,14
RELIANCE.NS,long,PB-L,2022-04-19,2022-04-28,1201.5957,1281.8081,TP,26.7375,6.4755,9
RELIANCE.NS,long,BO-L,2022-06-02,2022-06-16,1239.5892,1171.0157,SL,34.2868,-5.732,14
RELIANCE.NS,long,PB-L,2022-08-30,2022-09-02,1204.2152,1156.9537,SL,23.6307,-4.1247,3
RELIANCE.NS,long,BO-L,2022-11-07,2022-12-23,1189.9042,1143.5174,SL,23.1934,-4.0984,46
RELIANCE.NS,long,BO-L,2023-06-16,2023-06-26,1176.5746,1147.1314,SL,14.7216,-2.7024,10
RELIANCE.NS,long,PB-L,2023-06-28,2023-07-06,1154.7083,1198.0432,TP,14.445,3.5529,8
RELIANCE.NS,long,BO-L,2023-07-06,2023-07-11,1204.5804,1256.1628,TP,17.1941,4.0822,5
RELIANCE.NS,long,PB-L,2023-08-04,2023-09-20,1241.1718,1182.324,MeshBreak,23.4219,-4.9413,47
RELIANCE.NS,long,PB-L,2023-12-01,2023-12-15,1188.3545,1226.637,TP,12.7608,3.0215,14
RELIANCE.NS,long,BO-L,2023-12-15,2023-12-27,1238.6324,1282.9827,TP,14.7834,3.3806,12
RELIANCE.NS,long,PB-L,2024-01-24,2024-01-29,1334.0015,1407.1526,TP,24.3837,5.2836,5
RELIANCE.NS,long,BO-L,2024-01-29,2024-05-10,1437.4111,1397.0846,MeshBreak,29.9804,-3.0055,102
RELIANCE.NS,long,BO-L,2024-05-23,2024-05-30,1475.132,1422.5364,SL,26.2978,-3.7655,7
RELIANCE.NS,long,BO-L,2024-06-03,2024-06-04,1499.2285,1442.4852,SL,28.3716,-3.9848,1
RELIANCE.NS,long,PB-L,2024-06-07,2024-07-05,1459.15,1570.9918,TP,37.2806,7.4649,28
RELIANCE.NS,long,PB-L,2024-08-29,2024-09-06,1514.8748,1468.5871,SL,23.1439,-3.2555,8
RELIANCE.NS,long,BO-L,2025-05-15,2025-07-28,1448.4152,1384.1416,SL,32.1368,-4.6375,74
RELIANCE.NS,long,BO-L,2025-10-27,2025-11-26,1484.1,1550.8555,TP,22.2518,4.298,30
RELIANCE.NS,long,PB-L,2025-12-08,2026-01-08,1543.0,1498.1464,SL,22.4268,-3.1069,31
