ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
TITAN.NS,long,BO-L,2020-02-13,2020-03-09,1273.3181,1215.9287,SL,28.6947,-4.7071,25
TITAN.NS,long,BO-L,2020-09-03,2020-09-22,1167.1467,1102.7206,SL,32.2131,-5.72,19
TITAN.NS,long,BO-L,2020-10-07,2020-10-29,1234.7944,1165.2101,SL,34.7922,-5.8353,22
TITAN.NS,long,BO-L,2020-11-10,2020-12-03,1285.4072,1386.355,TP,33.6492,7.6534,23
TITAN.NS,long,BO-L,2020-12-03,2020-12-28,1396.7751,1519.0588,TP,40.7612,8.5547,25
TITAN.NS,long,PB-L,2021-02-08,2021-02-18,1518.0881,1430.0053,SL,44.0414,-6.0022,10
TITAN.NS,long,BO-L,2021-05-25,2021-06-03,1545.1177,1662.2847,TP,39.0557,7.3831,9
TITAN.NS,long,BO-L,2021-06-03,2021-08-03,1665.2985,1795.1617,TP,43.2878,7.5982,61
TITAN.NS,long,BO-L,2021-08-03,2021-09-02,1816.3634,1928.236,TP,37.2909,5.9592,30
TITAN.NS,long,BO-L,2021-11-08,2021-11-24,2503.8906,2356.1979,SL,73.8464,-6.0985,16
TITAN.NS,long,BO-L,2021-12-30,2022-01-10,2405.7292,2578.444,TP,57.5716,6.9793,11
TITAN.NS,long,BO-L,2022-08-26,2022-09-13,2508.9353,2678.9489,TP,56.6712,6.5763,18
TITAN.NS,long,BO-L,2022-09-22,2022-09-27,2711.6987,2587.2833,SL,62.2077,-4.7881,5
TITAN.NS,long,BO-L,2023-04-05,2023-05-05,2548.3589,2671.625,TP,41.0887,4.6371,30
TITAN.NS,long,BO-L,2023-05-29,2023-06-16,2785.6423,2921.5702,TP,45.3093,4.6796,18
TITAN.NS,long,BO-L,2023-06-16,2023-07-05,2926.3484,3057.8405,TP,43.8307,4.2934,19
TITAN.NS,long,BO-L,2023-08-17,2023-09-13,3052.5452,3210.1981,TP,52.551,4.9646,27
TITAN.NS,long,PB-L,2023-11-16,2023-12-05,3315.0933,3487.591,TP,57.4992,5.0034,19
TITAN.NS,long,BO-L,2023-12-28,2024-02-05,3691.8728,3573.253,SL,59.3099,-3.413,39
TITAN.NS,long,PB-L,2024-03-01,2024-03-18,3742.3552,3577.4392,SL,82.458,-4.6067,17
TITAN.NS,long,PB-L,2024-03-27,2024-04-15,3735.8958,3584.8703,SL,75.5127,-4.2426,19
TITAN.NS,long,BO-L,2024-08-21,2024-09-20,3549.717,3780.7888,TP,77.0239,6.3096,30
TITAN.NS,long,PB-L,2024-09-26,2024-10-07,3746.2756,3604.5026,SL,70.8865,-3.9844,11
TITAN.NS,long,BO-L,2025-06-25,2025-07-08,3641.2417,3501.9758,SL,69.6329,-4.0247,13
TITAN.NS,long,BO-L,2025-10-23,2025-12-26,3772.3,3964.9822,TP,64.2274,4.9078,64
TITAN.NS,long,BO-L,2025-12-26,2026-01-07,3992.0,4169.6324,TP,59.2108,4.2497,12
TITAN.NS,long,BO-L,2026-02-09,2026-03-13,4257.7998,4075.3422,SL,91.2288,-4.4853,32
