ticker,direction,signal_type,entry_date,exit_date,entry_price,exit_price,exit_reason,atr_at_entry,pnl_pct,bars_held
WIPRO.NS,long,BO-L,2020-09-11,2020-10-05,135.1859,146.7066,TP,3.8402,8.3221,24
WIPRO.NS,long,BO-L,2020-11-23,2020-12-23,164.016,175.8028,TP,3.9289,6.9863,30
WIPRO.NS,long,BO-L,2020-12-23,2021-01-08,177.7052,191.2832,TP,4.526,7.4408,16
WIPRO.NS,long,BO-L,2021-04-22,2021-05-27,224.8078,246.7988,TP,7.3303,9.5822,35
WIPRO.NS,long,BO-L,2021-05-27,2021-07-22,249.8686,268.9649,TP,6.3654,7.4425,56
WIPRO.NS,long,BO-L,2021-07-23,2021-09-01,276.7771,296.2722,TP,6.4984,6.8436,40
WIPRO.NS,long,PB-L,2021-10-12,2021-10-18,304.471,327.4611,TP,7.6634,7.3509,6
WIPRO.NS,long,BO-L,2021-12-21,2022-01-13,319.1148,302.9746,SL,8.0701,-5.2578,23
WIPRO.NS,long,BO-L,2023-09-04,2023-09-22,203.0298,196.2352,SL,3.3973,-3.5466,18
WIPRO.NS,long,BO-L,2023-12-14,2023-12-22,203.1701,214.413,TP,3.7476,5.3337,8
WIPRO.NS,long,BO-L,2023-12-22,2024-02-06,216.3827,232.3888,TP,5.3354,7.1971,46
WIPRO.NS,long,BO-L,2024-02-06,2024-02-16,234.1861,254.0016,TP,6.6052,8.2614,10
WIPRO.NS,long,BO-L,2024-06-19,2024-07-02,232.3582,248.1445,TP,5.2621,6.594,13
WIPRO.NS,long,PB-L,2024-08-28,2024-11-11,250.5672,268.0063,TP,5.813,6.7598,75
WIPRO.NS,long,BO-L,2024-11-26,2025-01-23,276.0645,296.4668,TP,6.8008,7.1904,58
WIPRO.NS,long,BO-L,2025-01-23,2025-02-25,297.8122,280.2631,SL,8.7745,-6.0927,33
